Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_LOGRECNO,Geo_TRACT,pop,pop_density,MedH_Inc,NH_ac,pct_NH_ac,num_hh,pct_homeowner,pct_renters,pct_vacant,SE_T003_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_007,SE_T013_008,PCT_SE_T013_002,PCT_SE_T013_003,PCT_SE_T013_004,PCT_SE_T013_005,PCT_SE_T013_007,PCT_SE_T013_008,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,PCT_SE_T017_002,PCT_SE_T017_003,PCT_SE_T017_004,PCT_SE_T017_005,PCT_SE_T017_006,PCT_SE_T017_007,PCT_SE_T017_008,PCT_SE_T017_009,SE_T083_001,SE_T093_001,SE_T094_001,SE_T094_002,SE_T094_003,SE_T095_001,SE_T095_002,SE_T095_003,PCT_SE_T095_002
15001020900,14000US15001020900,"Census Tract 209, Hawaii County, Hawaii",277,20900,4732,426.8201,67017,219,4.63,1683,76.29,23.71,9.81,11.08664,947,11,11,1650,26,1868,20.01,0.23,0.23,34.87,0.55,39.48,1191,946,245,74,171,492,221,271,70.77,56.21,14.56,4.4,10.16,29.23,13.13,16.1,30711,1866,1683,1284,399,1866,1683,183,90.19
15001021003,14000US15001021003,"Census Tract 210.03, Hawaii County, Hawaii",278,21003,6823,521.846,32199,1575,23.08,2271,65.65,34.35,9.74,13.07474,2216,56,131,946,174,1725,32.48,0.82,1.92,13.86,2.55,25.28,1602,957,645,215,430,669,456,213,70.54,42.14,28.4,9.47,18.93,29.46,20.08,9.38,18415,2516,2271,1491,780,2516,2271,245,90.26
15001021005,14000US15001021005,"Census Tract 210.05, Hawaii County, Hawaii",279,21005,11542,774.8722,46489,2273,19.69,4026,78.09,21.91,11.67,15.99972,3701,37,10,3157,177,2187,32.07,0.32,0.09,27.35,1.53,18.95,2919,2070,849,295,554,1107,654,453,72.5,51.42,21.09,7.33,13.76,27.5,16.24,11.25,21244,4558,4026,3144,882,4558,4026,532,88.33
15001021010,14000US15001021010,"Census Tract 210.10, Hawaii County, Hawaii",280,21010,7190,123.174,30378,1534,21.34,2869,75.32,24.68,23.7,58.37271,3337,40,38,574,40,1627,46.41,0.56,0.53,7.98,0.56,22.63,1553,1087,466,168,298,1316,877,439,54.13,37.89,16.24,5.86,10.39,45.87,30.57,15.3,19512,3760,2869,2161,708,3760,2869,891,76.3
15001021011,14000US15001021011,"Census Tract 210.11, Hawaii County, Hawaii",281,21011,3934,41.36007,44227,741,18.84,1522,70.5,29.5,25.83,95.1188,1439,0,0,742,22,990,36.58,0,0,18.86,0.56,25.17,1146,787,359,33,326,376,248,128,75.3,51.71,23.59,2.17,21.42,24.7,16.29,8.41,22414,2052,1522,1073,449,2052,1522,530,74.17
15001021013,14000US15001021013,"Census Tract 210.13, Hawaii County, Hawaii",282,21013,5354,104.807,51329,962,17.97,1653,69.99,30.01,9.57,53.81663,1045,0,0,2025,4,1318,19.52,0,0,37.82,0.07,24.62,1090,757,333,131,202,563,316,247,65.94,45.8,20.15,7.92,12.22,34.06,19.12,14.94,21936,1828,1653,1157,496,1828,1653,175,90.43
15001021101,14000US15001021101,"Census Tract 211.01, Hawaii County, Hawaii",283,21101,3101,75.53256,27736,207,6.68,1605,75.39,24.61,26.85,45.36596,2081,17,38,303,66,389,67.11,0.55,1.23,9.77,2.13,12.54,691,501,190,69,121,914,533,381,43.05,31.21,11.84,4.3,7.54,56.95,33.21,23.74,24613,2194,1605,1210,395,2194,1605,589,73.15
15001021106,14000US15001021106,"Census Tract 211.06, Hawaii County, Hawaii",284,21106,7573,33.38277,28149,1738,22.95,2531,64.84,35.16,24.13,233.1286,2384,102,115,1009,304,1921,31.48,1.35,1.52,13.32,4.01,25.37,1603,916,687,170,517,928,455,473,63.33,36.19,27.14,6.72,20.43,36.67,17.98,18.69,15863,3336,2531,1641,890,3336,2531,805,75.87
15001021202,14000US15001021202,"Census Tract 212.02, Hawaii County, Hawaii",285,21202,8406,9.041431,40465,968,11.52,2860,75,25,31.63,963.2502,2973,10,41,1681,78,2655,35.37,0.12,0.49,20,0.93,31.58,1685,1201,484,239,245,1175,612,563,58.92,41.99,16.92,8.36,8.57,41.08,21.4,19.69,18275,4183,2860,2145,715,4183,2860,1323,68.37
15001021300,14000US15001021300,"Census Tract 213, Hawaii County, Hawaii",286,21300,7172,22.89237,50953,841,11.73,2285,68.67,31.33,18.42,335.3943,2888,4,61,1022,20,2336,40.27,0.06,0.85,14.25,0.28,32.57,1695,1215,480,217,263,590,325,265,74.18,53.17,21.01,9.5,11.51,25.82,14.22,11.6,32116,2801,2285,1569,716,2801,2285,516,81.58
15001021402,14000US15001021402,"Census Tract 214.02, Hawaii County, Hawaii",287,21402,4105,253.4883,60750,670,16.32,1343,66.12,33.88,13.02,18.63187,946,24,0,1023,22,1420,23.05,0.58,0,24.92,0.54,34.59,897,633,264,88,176,446,200,246,66.79,47.13,19.66,6.55,13.1,33.21,14.89,18.32,28706,1544,1343,888,455,1544,1343,201,86.98
15001021502,14000US15001021502,"Census Tract 215.02, Hawaii County, Hawaii",288,21502,4644,12.82402,63783,315,6.78,1633,59.77,40.23,17.23,362.1522,1977,29,34,683,69,1537,42.57,0.62,0.73,14.71,1.49,33.1,1149,764,385,117,268,484,292,192,70.36,46.79,23.58,7.16,16.41,29.64,17.88,11.76,29484,1973,1633,976,657,1973,1633,340,82.77
15001021504,14000US15001021504,"Census Tract 215.04, Hawaii County, Hawaii",289,21504,5258,438.8401,63497,1724,32.79,1343,56.07,43.93,12.39,14.89396,920,28,23,1051,56,1456,17.5,0.53,0.44,19.99,1.07,27.69,1072,786,286,126,160,271,83,188,79.82,58.53,21.3,9.38,11.91,20.18,6.18,14,22586,1533,1343,753,590,1533,1343,190,87.61
15001021507,14000US15001021507,"Census Tract 215.07, Hawaii County, Hawaii",290,21507,9936,105.2812,68333,1591,16.01,3372,68.48,31.52,19.25,112.8689,5285,17,18,948,90,1987,53.19,0.17,0.18,9.54,0.91,20,2389,1858,531,286,245,983,523,460,70.85,55.1,15.75,8.48,7.27,29.15,15.51,13.64,33186,4176,3372,2309,1063,4176,3372,804,80.75
15001021509,14000US15001021509,"Census Tract 215.09, Hawaii County, Hawaii",291,21509,5104,503.871,66771,762,14.93,1902,63.99,36.01,45.22,14.11855,2912,0,0,581,68,781,57.05,0,0,11.38,1.33,15.3,1308,1106,202,60,142,594,268,326,68.77,58.15,10.62,3.15,7.47,31.23,14.09,17.14,34042,3472,1902,1217,685,3472,1902,1570,54.78
15001021601,14000US15001021601,"Census Tract 216.01, Hawaii County, Hawaii",292,21601,8274,1213.716,60420,932,11.26,3009,50.38,49.62,26,8.433519,3411,40,16,1708,348,1819,41.23,0.48,0.19,20.64,4.21,21.98,1847,1532,315,181,134,1162,544,618,61.38,50.91,10.47,6.02,4.45,38.62,18.08,20.54,29242,4066,3009,1516,1493,4066,3009,1057,74
15001021604,14000US15001021604,"Census Tract 216.04, Hawaii County, Hawaii",293,21604,8446,2783.581,72893,509,6.03,2904,65.01,34.99,35.87,4.17666,4125,142,72,1597,732,1269,48.84,1.68,0.85,18.91,8.67,15.02,1853,1562,291,119,172,1051,463,588,63.81,53.79,10.02,4.1,5.92,36.19,15.94,20.25,31571,4528,2904,1888,1016,4528,2904,1624,64.13
15001021702,14000US15001021702,"Census Tract 217.02, Hawaii County, Hawaii",294,21702,11071,54.75124,66842,1748,15.79,3242,59.69,40.31,13.89,202.2441,3738,179,1,1606,45,3754,33.76,1.62,0.01,14.51,0.41,33.91,2287,1638,649,133,516,955,451,504,70.54,50.52,20.02,4.1,15.92,29.46,13.91,15.55,26160,3765,3242,1935,1307,3765,3242,523,86.11
15001021704,14000US15001021704,"Census Tract 217.04, Hawaii County, Hawaii",295,21704,7680,54.35545,74138,673,8.76,3030,73.17,26.83,51.27,155.9003,4129,74,3,1002,259,1540,53.76,0.96,0.04,13.05,3.37,20.05,2111,1718,393,133,260,919,397,522,69.67,56.7,12.97,4.39,8.58,30.33,13.1,17.23,41241,6218,3030,2217,813,6218,3030,3188,48.73
15001021800,14000US15001021800,"Census Tract 218, Hawaii County, Hawaii",296,21800,6441,45.69062,67614,941,14.61,2013,68.8,31.2,22.01,155.6033,1731,24,0,1360,60,2325,26.87,0.37,0,21.11,0.93,36.1,1501,1175,326,59,267,512,240,272,74.57,58.37,16.19,2.93,13.26,25.43,11.92,13.51,24984,2581,2013,1385,628,2581,2013,568,77.99
15001021902,14000US15001021902,"Census Tract 219.02, Hawaii County, Hawaii",297,21902,4228,36.6536,59939,303,7.17,1173,68.88,31.12,16.69,127.9997,1331,1,5,1373,34,1181,31.48,0.02,0.12,32.47,0.8,27.93,930,609,321,54,267,243,118,125,79.28,51.92,27.37,4.6,22.76,20.72,10.06,10.66,22850,1408,1173,808,365,1408,1173,235,83.31
15001022000,14000US15001022000,"Census Tract 220, Hawaii County, Hawaii",298,22000,3235,6.96416,60231,227,7.02,821,73.69,26.31,18.95,472.6181,896,0,0,1112,3,997,27.7,0,0,34.37,0.09,30.82,661,489,172,46,126,160,73,87,80.51,59.56,20.95,5.6,15.35,19.49,8.89,10.6,22635,1013,821,605,216,1013,821,192,81.05
15001022102,14000US15001022102,"Census Tract 221.02, Hawaii County, Hawaii",299,22102,1676,5.226107,45234,33,1.97,561,75.04,24.96,32.73,327.4111,567,13,1,557,58,447,33.83,0.78,0.06,33.23,3.46,26.67,433,294,139,82,57,128,48,80,77.18,52.41,24.78,14.62,10.16,22.82,8.56,14.26,22054,834,561,421,140,834,561,273,67.27
15001990000,14000US15001990000,"Census Tract 9900, Hawaii County, Hawaii",300,990000,0,,,0,,0,,,,81.8078,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990100,14000US15001990100,"Census Tract 9901, Hawaii County, Hawaii",301,990100,0,,,0,,0,,,,228.5161,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990300,14000US15001990300,"Census Tract 9903, Hawaii County, Hawaii",302,990300,0,,,0,,0,,,,69.38096,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990400,14000US15001990400,"Census Tract 9904, Hawaii County, Hawaii",303,990400,0,,,0,,0,,,,31.99602,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990500,14000US15001990500,"Census Tract 9905, Hawaii County, Hawaii",304,990500,0,,,0,,0,,,,35.5367,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990600,14000US15001990600,"Census Tract 9906, Hawaii County, Hawaii",305,990600,0,,,0,,0,,,,12.31808,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990700,14000US15001990700,"Census Tract 9907, Hawaii County, Hawaii",306,990700,0,,,0,,0,,,,8.592043,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990800,14000US15001990800,"Census Tract 9908, Hawaii County, Hawaii",307,990800,0,,,0,,0,,,,36.91674,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001990900,14000US15001990900,"Census Tract 9909, Hawaii County, Hawaii",308,990900,0,,,0,,0,,,,42.50285,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991000,14000US15001991000,"Census Tract 9910, Hawaii County, Hawaii",309,991000,0,,,0,,0,,,,35.61126,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991100,14000US15001991100,"Census Tract 9911, Hawaii County, Hawaii",310,991100,0,,,0,,0,,,,57.30418,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991200,14000US15001991200,"Census Tract 9912, Hawaii County, Hawaii",311,991200,0,,,0,,0,,,,108.0133,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991300,14000US15001991300,"Census Tract 9913, Hawaii County, Hawaii",312,991300,0,,,0,,0,,,,35.72782,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991400,14000US15001991400,"Census Tract 9914, Hawaii County, Hawaii",313,991400,0,,,0,,0,,,,71.06573,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991500,14000US15001991500,"Census Tract 9915, Hawaii County, Hawaii",314,991500,0,,,0,,0,,,,6.91444,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991600,14000US15001991600,"Census Tract 9916, Hawaii County, Hawaii",315,991600,0,,,0,,0,,,,12.57386,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15001991700,14000US15001991700,"Census Tract 9917, Hawaii County, Hawaii",316,991700,0,,,0,,0,,,,14.92736,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,
15003000106,14000US15003000106,"Census Tract 1.06, Honolulu County, Hawaii",317,106,7997,2621.636,100991,661,8.27,3137,73.32,26.68,7.05,3.050385,2318,114,79,3463,14,1348,28.99,1.43,0.99,43.3,0.18,16.86,2182,1850,332,107,225,955,261,694,69.56,58.97,10.58,3.41,7.17,30.44,8.32,22.12,47739,3375,3137,2300,837,3375,3137,238,92.95
15003000107,14000US15003000107,"Census Tract 1.07, Honolulu County, Hawaii",318,107,2788,2597.68,117813,187,6.71,907,84.67,15.33,5.03,1.164554,596,0,0,1329,13,663,21.38,0,0,47.67,0.47,23.78,804,665,139,37,102,103,37,66,88.64,73.32,15.33,4.08,11.25,11.36,4.08,7.28,46599,955,907,768,139,955,907,48,94.97
15003000108,14000US15003000108,"Census Tract 1.08, Honolulu County, Hawaii",319,108,2997,8301.785,103857,141,4.7,1216,74.26,25.74,8.85,0.530887,1269,78,0,895,36,578,42.34,2.6,0,29.86,1.2,19.29,830,698,132,48,84,386,162,224,68.26,57.4,10.86,3.95,6.91,31.74,13.32,18.42,52853,1334,1216,903,313,1334,1216,118,91.15
15003000110,14000US15003000110,"Census Tract 1.10, Honolulu County, Hawaii",320,110,4316,1688.446,123929,59,1.37,1418,92.81,7.19,3.73,2.953975,1347,32,0,1875,6,997,31.21,0.74,0,43.44,0.14,23.1,1245,1105,140,50,90,173,111,62,87.8,77.93,9.87,3.53,6.35,12.2,7.83,4.37,53189,1473,1418,1316,102,1473,1418,55,96.27
15003000111,14000US15003000111,"Census Tract 1.11, Honolulu County, Hawaii",321,111,4660,4119.484,124444,429,9.21,1460,90.75,9.25,0.61,1.161575,767,10,11,2592,49,802,16.46,0.21,0.24,55.62,1.05,17.21,1272,1041,231,99,132,188,106,82,87.12,71.3,15.82,6.78,9.04,12.88,7.26,5.62,45836,1469,1460,1325,135,1469,1460,9,99.39
15003000112,14000US15003000112,"Census Tract 1.12, Honolulu County, Hawaii",322,112,4996,7795.167,101855,223,4.46,1900,85.84,14.16,9.31,0.7700016,1135,37,0,2592,9,1000,22.72,0.74,0,51.88,0.18,20.02,1441,1198,243,28,215,459,99,360,75.84,63.05,12.79,1.47,11.32,24.16,5.21,18.95,43026,2095,1900,1631,269,2095,1900,195,90.69
15003000114,14000US15003000114,"Census Tract 1.14, Honolulu County, Hawaii",323,114,1397,2951.203,146042,22,1.57,479,89.56,10.44,23.24,0.7456394,557,14,0,532,20,252,39.87,1,0,38.08,1.43,18.04,410,349,61,20,41,69,17,52,85.59,72.86,12.73,4.18,8.56,14.41,3.55,10.86,80557,624,479,429,50,624,479,145,76.76
15003000200,14000US15003000200,"Census Tract 2, Honolulu County, Hawaii",324,200,5563,1434.767,114481,184,3.31,1750,81.71,18.29,9.51,4.134722,1207,37,0,2749,8,1378,21.7,0.67,0,49.42,0.14,24.77,1361,1020,341,47,294,389,151,238,77.77,58.29,19.49,2.69,16.8,22.23,8.63,13.6,43212,1934,1750,1430,320,1934,1750,184,90.49
15003000301,14000US15003000301,"Census Tract 3.01, Honolulu County, Hawaii",325,301,2978,912.2448,118229,85,2.85,1000,95.4,4.6,14.09,3.264475,603,12,16,1765,6,491,20.25,0.4,0.54,59.27,0.2,16.49,823,713,110,11,99,177,93,84,82.3,71.3,11,1.1,9.9,17.7,9.3,8.4,57406,1164,1000,954,46,1164,1000,164,85.91
15003000302,14000US15003000302,"Census Tract 3.02, Honolulu County, Hawaii",326,302,3239,4323.263,113875,254,7.84,1000,84.9,15.1,5.48,0.9603473,585,0,15,1685,0,700,18.06,0,0.46,52.02,0,21.61,785,672,113,29,84,215,126,89,78.5,67.2,11.3,2.9,8.4,21.5,12.6,8.9,47237,1058,1000,849,151,1058,1000,58,94.52
15003000401,14000US15003000401,"Census Tract 4.01, Honolulu County, Hawaii",327,401,2613,1094.458,123047,42,1.61,991,74.67,25.33,4.44,2.387483,628,8,5,1536,32,362,24.03,0.31,0.19,58.78,1.22,13.85,733,587,146,69,77,258,115,143,73.97,59.23,14.73,6.96,7.77,26.03,11.6,14.43,53112,1037,991,740,251,1037,991,46,95.56
15003000402,14000US15003000402,"Census Tract 4.02, Honolulu County, Hawaii",328,402,3694,3188.294,157708,72,1.95,1290,92.87,7.13,10.29,1.158613,813,0,7,2144,74,584,22.01,0,0.19,58.04,2,15.81,1013,932,81,20,61,277,146,131,78.53,72.25,6.28,1.55,4.73,21.47,11.32,10.16,66109,1438,1290,1198,92,1438,1290,148,89.71
15003000500,14000US15003000500,"Census Tract 5, Honolulu County, Hawaii",329,500,3747,3369.5,121544,74,1.97,1348,78.78,21.22,20.47,1.509843,1237,18,0,1984,0,434,33.01,0.48,0,52.95,0,11.58,1008,864,144,41,103,340,134,206,74.78,64.09,10.68,3.04,7.64,25.22,9.94,15.28,72969,1695,1348,1062,286,1695,1348,347,79.53
15003000600,14000US15003000600,"Census Tract 6, Honolulu County, Hawaii",330,600,1370,1148.365,141563,0,0,476,77.94,22.06,14.23,1.526141,598,6,0,604,0,162,43.65,0.44,0,44.09,0,11.82,360,263,97,35,62,116,38,78,75.63,55.25,20.38,7.35,13.03,24.37,7.98,16.39,66992,555,476,371,105,555,476,79,85.77
15003000700,14000US15003000700,"Census Tract 7, Honolulu County, Hawaii",331,700,3016,8065.583,88681,26,0.86,966,72.77,27.23,9.55,0.3739345,212,14,7,2153,0,604,7.03,0.46,0.23,71.39,0,20.03,747,577,170,35,135,219,76,143,77.33,59.73,17.6,3.62,13.98,22.67,7.87,14.8,36669,1068,966,703,263,1068,966,102,90.45
15003000800,14000US15003000800,"Census Tract 8, Honolulu County, Hawaii",332,800,3719,8584.436,91838,141,3.79,1197,71.85,28.15,12.11,0.433226,358,22,0,2408,3,787,9.63,0.59,0,64.75,0.08,21.16,818,488,330,84,246,379,186,193,68.34,40.77,27.57,7.02,20.55,31.66,15.54,16.12,39322,1362,1197,860,337,1362,1197,165,87.89
15003000901,14000US15003000901,"Census Tract 9.01, Honolulu County, Hawaii",333,901,2753,8479.373,71875,152,5.52,1270,52.91,47.09,6.89,0.3246702,671,0,0,1384,0,546,24.37,0,0,50.27,0,19.83,740,563,177,60,117,530,116,414,58.27,44.33,13.94,4.72,9.21,41.73,9.13,32.6,42346,1364,1270,672,598,1364,1270,94,93.11
15003000902,14000US15003000902,"Census Tract 9.02, Honolulu County, Hawaii",334,902,4022,6991.994,114375,164,4.08,1356,69.4,30.6,14.39,0.5752293,1221,25,0,1756,61,795,30.36,0.62,0,43.66,1.52,19.77,1006,703,303,101,202,350,151,199,74.19,51.84,22.35,7.45,14.9,25.81,11.14,14.68,47328,1584,1356,941,415,1584,1356,228,85.61
15003000903,14000US15003000903,"Census Tract 9.03, Honolulu County, Hawaii",335,903,2756,11547.58,80793,11,0.4,980,56.02,43.98,11.39,0.2386648,655,7,0,1595,38,450,23.77,0.25,0,57.87,1.38,16.33,609,342,267,97,170,371,150,221,62.14,34.9,27.24,9.9,17.35,37.86,15.31,22.55,45910,1106,980,549,431,1106,980,126,88.61
15003001000,14000US15003001000,"Census Tract 10, Honolulu County, Hawaii",336,1000,3359,1034.503,81286,293,8.72,1010,71.29,28.71,9.58,3.246971,643,59,0,1422,114,828,19.14,1.76,0,42.33,3.39,24.65,694,505,189,59,130,316,178,138,68.71,50,18.71,5.84,12.87,31.29,17.62,13.66,31446,1117,1010,720,290,1117,1010,107,90.42
15003001100,14000US15003001100,"Census Tract 11, Honolulu County, Hawaii",337,1100,3764,11803.53,56591,594,15.78,1144,42.31,57.69,1.12,0.3188876,418,14,0,1884,24,830,11.11,0.37,0,50.05,0.64,22.05,829,440,389,81,308,315,131,184,72.47,38.46,34,7.08,26.92,27.53,11.45,16.08,22019,1157,1144,484,660,1157,1144,13,98.88
15003001201,14000US15003001201,"Census Tract 12.01, Honolulu County, Hawaii",338,1201,3015,14643.26,83042,147,4.88,969,54.08,45.92,17.95,0.2058967,194,13,0,1917,8,736,6.43,0.43,0,63.58,0.27,24.41,699,435,264,43,221,270,193,77,72.14,44.89,27.24,4.44,22.81,27.86,19.92,7.95,32233,1181,969,524,445,1181,969,212,82.05
15003001202,14000US15003001202,"Census Tract 12.02, Honolulu County, Hawaii",339,1202,3032,15048,88510,224,7.39,953,66.11,33.89,13.21,0.2014886,354,0,0,1988,91,375,11.68,0,0,65.57,3,12.37,732,447,285,100,185,221,114,107,76.81,46.9,29.91,10.49,19.41,23.19,11.96,11.23,32788,1098,953,630,323,1098,953,145,86.79
15003001300,14000US15003001300,"Census Tract 13, Honolulu County, Hawaii",340,1300,4562,12731.14,66786,149,3.27,1580,51.08,48.92,3.78,0.3583341,575,16,33,2869,0,920,12.6,0.35,0.72,62.89,0,20.17,944,653,291,65,226,636,294,342,59.75,41.33,18.42,4.11,14.3,40.25,18.61,21.65,34411,1642,1580,807,773,1642,1580,62,96.22
15003001400,14000US15003001400,"Census Tract 14, Honolulu County, Hawaii",341,1400,2720,13958.93,93553,84,3.09,882,65.19,34.81,3.18,0.1948573,445,39,0,1706,4,442,16.36,1.43,0,62.72,0.15,16.25,622,483,139,53,86,260,106,154,70.52,54.76,15.76,6.01,9.75,29.48,12.02,17.46,37664,911,882,575,307,911,882,29,96.82
15003001500,14000US15003001500,"Census Tract 15, Honolulu County, Hawaii",342,1500,3451,15927.13,83542,50,1.45,1144,65.03,34.97,11.46,0.2166744,582,0,12,2093,46,668,16.86,0,0.35,60.65,1.33,19.36,810,526,284,50,234,334,197,137,70.8,45.98,24.83,4.37,20.45,29.2,17.22,11.98,37348,1292,1144,744,400,1292,1144,148,88.54
