meeting_location,cwpp_region,concern,total_votes,recommendations,timing_focus,cohesive_strategy,key_codes,sec_desc1,sec_desc2,sec_desc3
Waimea,Kauai,Grazing lands are not accessible to most people for grazing leases (ADC (state org.) land - old cane - now guinea grass) - not maintaining their fuels,2,"Lease out areas as pasture; Create a grazing cooperative to have access to pasture lands; Need someone to drive and get the  grazing association started (insurance, liability ($400/yr.)",PS,L,f,p,NA,NA
Waimea,Kauai,Unmanaged fuels & Roadsides,2,"Law - Every property must have a fire break if next to the highway. If property is >10 acres, you must have a Wildfire Plan for your land; Enforcement of fuel abatement laws",P,L,f,e,NA,NA
Waimea,Kauai,Unmanaged fuels & Roadsides,2,"Law - Every property must have a fire break if next to the highway. If property is >10 acres, you must have a Wildfire Plan for your land; Enforcement of fuel abatement laws",P,L,f,e,NA,NA
Waimea,Kauai,Unmanaged vegetation,2,Waimea Valley firebreak needs to be maintained; Kekaha firebreaks need to be maintained regularly; Waimea to Mana to Polihale firebreak to protect homes (see map drawing); Use existing old cane roads to maintain as fuel breaks (County & State lands); Kokee Rd. remove eucalyptus trees from touching each other,PS,L,f,r,NA,NA
Waimea,Kauai,"Who manages what? Ag lands, Roads",2,Agencies open and clear lands every year,P,L,f,ag,NA,NA
Waimea,Kauai,"Who manages what? Ag lands, Roads",2,Agencies open and clear lands every year,P,L,f,p,NA,NA
Waimea,Kauai,"Unmanaged vegetation (mixed landowners, state, homeowners)",1,Buffer zones,PS,L,f,wui,NA,NA
Waimea,Kauai,Fallow lands,0,Strategically place farms (i.e. along Kokee Rd. with irrigation),PS,L,f,ag,NA,NA
Waimea,Kauai,Fallow lands,0,Strategically place farms (i.e. along Kokee Rd. with irrigation),PS,L,f,vl,NA,NA
Waimea,Kauai,High fuels along roads,0,Adopt-a-Highway for fuels management; Clearing along road edges; Involve DOT,PS,L,f,p,NA,NA
Waimea,Kauai,High grass/fuels,0,Better access for grazing (leases with landowners),PS,L,f,ag,NA,NA
Waimea,Kauai,High grass/fuels,0,Better access for grazing (leases with landowners),PS,L,f,vl,NA,NA
Waimea,Kauai,Invasive species - overgrown/suffocate natural vegetation,0,NA,PS,L,f,is,NA,NA
Waimea,Kauai,Lateral roads across ridges (old cane road) unmaintained,0,Clearing would provide fire breaks,PS,L,f,r,NA,NA
Waimea,Kauai,Maintaining ditches,0,Access to machinery/$$ & landowners,PS,L,f,money,NA,NA
Waimea,Kauai,Old pasture maintenance,0,Fencing to maintain grazing animals,PS,L,f,ag,NA,NA
Waimea,Kauai,Toxicity of burning cultivated Ag lands affecting downwind communities,0,Ag owners and community should know the toxicity of their burning fuels/crops,PF,L,f,ag,NA,NA
Waimea,Kauai,Unmanaged fallow lands - upkeep/ownership,0,Knowledge of Federal monies to help maintenance,PS,L,f,money,NA,NA
Waimea,Kauai,Woody brush left along roadsides,0,Finish the job - clear it,PS,L,f,r,NA,NA
Kauai Coffee Farm,Kauai,Abandoned grazing operations - gulches,NA,Continue grazing in gulches,PS,L,f,ag,NA,NA
Kauai Coffee Farm,Kauai,Abandoned grazing operations - gulches,NA,Continue grazing in gulches,PS,L,f,vl,NA,NA
Kauai Coffee Farm,Kauai,Arson along road,NA,Firebreaks above Waimea along the road to prevent fires,PS,L,f,r,NA,NA
Wilcox,Kauai,Fallow Ag. Lands,NA,"Fire breaks, maintain old roads; Require large landowners to maintain their veg.; New law - make landowners responsible (especially next to subdivisions) - fines vs. tax incentives; Vacant residential lots - public works; DHHL MOUs - equipment operators",PS,L,f,ag,NA,NA
Wilcox,Kauai,Fallow Ag. Lands,NA,"Fire breaks, maintain old roads; Require large landowners to maintain their veg.; New law - make landowners responsible (especially next to subdivisions) - fines vs. tax incentives; Vacant residential lots - public works; DHHL MOUs - equipment operators",PS,L,f,vl,NA,NA
Princeville Ranch,Kauai,Invasive Species = fuel for fires (brush beard),NA,Grant funding to remove and replant with grass,PS,L,f,money,NA,NA
Princeville Ranch,Kauai,Invasive Species = fuel for fires (brush beard),NA,Grant funding to remove and replant with grass,PS,L,f,money,NA,NA
Kauai Coffee Farm,Kauai,Overgrown pastures,NA,Pasture maintenance,PS,L,f,ag,NA,NA
Kauai Coffee Farm,Kauai,Overgrown pastures,NA,Pasture maintenance,PS,L,f,vl,NA,NA
Agency Meeting,Kauai,Code Management,7,Hazardous trees,P,L,f,p,NA,NA
Kilauea,Kauai,Need to maintain vegetation education efforts,3,Additional funding; Liability coverage - Insurance Business License (GE) for contractor,PS,L,f,money,NA,NA
Waimea,Kauai,Invasive species - overgrown/suffocate natural vegetation,0,"Reduce invasive species, replant native species",PS,L,f,ep,NA,NA
Agency Meeting,Kauai,Additional training,1,Funding/Grants/Bring Instructors,P,R,ff,money,NA,NA
Waimea,Kauai,Increase firefighter manpower,0,"Funding by partnership/Volunteer FD Personnel (training, educational, county cover liability)",S,R,ff,money,NA,NA
CM Mason Chock,Kauai,Equipment needed; PPEs; Training - lessons learned,NA,Develop & pursue a Volunteer Fire Dept. - lessons learned to help fill the gap,S,R,ff,money,NA,NA
CM Mason Chock,Kauai,Equipment needed; PPEs; Training - lessons learned,NA,Facilitate passing of equipment between Army & Volunteer Fire Departments,S,R,ff,ma,NA,NA
Wilcox,Kauai,Fire suppression Capacity - Funding issue - labor intensive,NA,Small dozer purchase; Agreements set up ahead of time for equipment use (already done),S,R,ff,money,NA,NA
Princeville Ranch,Kauai,Heavy drought (summer),NA,Equipment agreements set up in advance in case needed for fire suppression (1.  Kobyashi Trucking - Hanalei; 2.  Lance Fu - Tanaguchi Construction - Kilauea (water truck); 3.  Kaiwa Construction - Kilauea (water truck); 4.  Rick Hearst - Hearst Construction (N Shore),S,R,ff,money,NA,NA
Councilmember (CM) Kipukai Kuali'i,Kauai,Multiple fires in Anahola,NA,CERT training - DHHL Anahola Board Members,PS,R,ff,money,NA,NA
CM Mason Chock,Kauai,"Payment for helicopter time, fire fighting costs",NA,DNA,S,R,ff,money,NA,NA
Agency Meeting,Kauai,Code Management,7,Hazardous trees,P,L,p,e,NA,NA
Kilauea,Kauai,Need to maintain vegetation education efforts,3,Additional funding; Liability coverage - Insurance Business License (GE) for contractor,PS,L,p,money,NA,NA
Waimea,Kauai,Who is responsible for lands,3,More clean ownership responsibility - who to talk to about using lands,P,L,p,management,NA,NA
Waimea,Kauai,Unmanaged fuels & Roadsides,2,"Law - Every property must have a fire break if next to the highway. If property is >10 acres, you must have a Wildfire Plan for your land; Enforcement of fuel abatement laws",P,L,p,e,NA,NA
Waimea,Kauai,"Who manages what? Ag lands, Roads",2,Agencies open and clear lands every year,P,L,p,management,NA,NA
Waimea,Kauai,"Better cooperation & communication among landowners & land users (grazers, hunters, etc.)",1,Meetings/workshops for planning and coordinating land use,P,C,p,cbo,NA,NA
Waimea,Kauai,Who will take this CWPP to the next step?,1,NA,P,C,p,money,NA,NA
Kilauea,Kauai,New Phase II vacant lots and unmanaged vegetation,0,DHHL planning to clear those lots - in final Procurement process,PS,C,p,other,NA,NA
CM Mason Chock,Kauai,"Access Issues - Large Landowners - Land Management (animals/hunting, access)",NA,Map out access areas - appease large landowners  needs to help them manage their lands,PS,C,p,m,NA,NA
CM Arryl Kaneshiro/Grove Farm,Kauai,Funding,NA,"Grant help/support/guidance - share grant opportunities with landowners (state, etc.) to buy mower/tractor, maintenance costs, tires",P,C,p,money,NA,NA
Councilmember (CM) Kipukai Kuali'i,Kauai,Multiple fires in Anahola,NA,CERT training - DHHL Anahola Board Members,P,C,p,money,NA,NA
Councilmember (CM) Kipukai Kuali'i,Kauai,Multiple fires in Anahola,NA,Grant writer help in community - Robin Danner,P,C,p,money,NA,NA
Agency Meeting,Kauai,Lack of Water,6,"Widening areas in ditches (Kekaha Ag Assoc>); ADC, Kauai water users, gain community interest; KIUC (Pu'u Lua Reservoir)",S,R,w,NA,NA,NA
Wilcox,Kauai,Suppression Water Resources,4,Dip tanks - to be filled by trucks; Reservoirs - resurrect - incentives for Ag.. & suppression purposes to offset costs to maintain reservoirs,S,R,w,NA,NA,NA
Wilcox,Kauai,Water Supply,4,Dip tanks,S,R,w,NA,NA,NA
Wilcox,Kauai,No water for former Ag lands,3,Resurrect reservoirs,S,R,w,NA,NA,NA
Waimea,Kauai,Water resources are limited,3,Dip tanks - permanent along roadway on Waimea Canyon Rd. & 3 miles up (work with KFD on spacing) (use existing water lines that are underground),S,R,w,NA,NA,NA
Waimea,Kauai,Water resources are limited,3,Portable tanks - make a requirement for ADC to install for fire suppression,S,R,w,NA,NA,NA
Waimea,Kauai,Wildland water sources,3,Maintain wildland roads for versatile access to potential water bladders filled by water tender,PS,R,w,NA,NA,NA
Waimea,Kauai,Hydrants - currently 60-70 PSI,1,Increase diameter/Age of piping/Check integrity of the line,S,R,w,NA,NA,NA
Waimea,Kauai,Change vegetation,0,Water source/reservoir restoration,PS,R,w,NA,NA,NA
Waimea,Kauai,Water Access,0,Locate existing water lines,S,R,w,NA,NA,NA
Waimea,Kauai,Water Access,0,Maintain access to reservoirs (old cane reservoirs),S,R,w,NA,NA,NA
CM Arryl Kaneshiro/Grove Farm,Kauai,Water Access,NA,Fire Dept. fittings for water tanks; overhead water spigot for Lihue - for Fire Dept. to fill up,S,R,w,NA,NA,NA
CM Arryl Kaneshiro/Grove Farm,Kauai,Water Access,NA,Put in frog ponds instead of reservoir (size & requirements),S,R,w,NA,NA,NA
CM Arryl Kaneshiro/Grove Farm,Kauai,Water Access,NA,Put in frog ponds instead of reservoir (size & requirements),S,R,w,NA,NA,NA
CM Mason Chock,Kauai,Water Resources,NA,DNA,S,R,w,NA,NA,NA
CM Mason Chock,Kauai,Water Resources,NA,DNA,S,R,w,NA,NA,NA
Molokai Task Force,Molokai,Building material hazard,2,Community education & outreach,P,C,c,cbo,NA,NA
Molokai Task Force,Molokai,Lack of follow through with community projects,0,NA,P,C,c,money,NA,NA
Molokai,Molokai,Lack of knowledge about potential grant funding,1,"Provide info., technical support, & follow up with applicants",P,C,c,cbo,NA,NA
Molokai,Molokai,Arson,1,Develop better ways to catch them,P,C,e,money,NA,NA
Molokai,Molokai,Inadequate authority & enforcement of fire safety concerns,4,Legislation efforts to resurrect & fund State Fire Marshall's Office,P,C,e,l,NA,NA
Molokai Task Force,Molokai,Unpermitted fires at home,1,Develop community education & outreach materials (fill the fire prevention position),P,C,e,cbo,NA,NA
Molokai,Molokai,Agencies & communities need to be prepared and ready for fire,3,"Training, general preparedness, know where/who to call (local, County, State, Federal, Trained volunteers)",PS,C,p,cbo,NA,NA
Molokai,Molokai,Communication between communities and agencies regarding fire  plans and practices,4,Liaison between agencies & communities,P,C,p,collab,NA,NA
Molokai,Molokai,Insufficient planning for new development in fire prone areas,4,Create mandatory ordinance requiring greater WUI protection,P,C,p,l,NA,NA
Molokai,Molokai,Inter-connect with Molokai Community Plan,1,Call Ella Alcon 553-3888,P,C,p,collab,NA,NA
Molokai,Molokai,Lack of knowledge about potential grant funding,1,"Provide info., technical support, & follow up with applicants",P,C,p,money,NA,NA
Molokai Task Force,Molokai,Lack of access to remote areas,2,Increase & improve road maintenance,S,L,a,NA,NA,NA
Molokai,Molokai,"Each district has different concern: Bigger lots = bigger issues, heavy trade winds; Lease land vs. fee simple",1,DHHL & homesteaders taking responsibility for enforcement & management,P,L,c,to,NA,NA
Molokai,Molokai,Protecting watershed forest from wildfire,5,Increase awareness,P,L,c,cbo,NA,NA
Molokai,Molokai,Controlling invasive species,2,Greater focus on restoring native habitat/water use reduction,PS,L,ep,is,NA,NA
Molokai,Molokai,Saving native plants (i.e. Wiliwili),0,Planting for firebreak - wind/dust control,PS,L,ep,restoration,NA,NA
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Protection of E. Molokai watersheds and 6000 acres of common land,PS,L,ep,gfm,NA,NA
Molokai,Molokai,Controlling invasive species,2,Greater focus on restoring native habitat/water use reduction,PS,L,f,is,NA,NA
Molokai,Molokai,Dry grass along the main road,3,Cut grass along the road - keep it low,PS,L,f,r,NA,NA
Molokai,Molokai,Fire breaks around communities,4,Take initial action on maintenance,PS,L,f,wui,NA,NA
Molokai Task Force,Molokai,Fuel management in WUI,5,Increase fuel management & related code enforcement activities specific to land use category & size of acreage,PS,L,f,e,NA,NA
Molokai Task Force,Molokai,Fuel management in WUI,5,Increase fuel management & related code enforcement activities specific to land use category & size of acreage,PS,L,f,wui,NA,NA
Molokai Task Force,Molokai,High fuel loads,5,Reduce fuel load levels,PS,L,f,gfm,NA,NA
Molokai,Molokai,Large areas of Kiawe trees on high hills - no access,1,Fuel break,PS,L,f,gfm,NA,NA
Molokai,Molokai,"Manage vegetation - dense, dry veg.",2,"Weed whack, remove brush",PS,L,f,gfm,NA,NA
Molokai Task Force,Molokai,MECO infrastructure - power lines/old infrastructure,5,Talk to PUC to psi MECO on (to?) mitigate issues,PS,L,f,collab,NA,NA
Molokai Task Force,Molokai,MECO infrastructure - power lines/old infrastructure,5,Talk to PUC to psi MECO on (to?) mitigate issues,PS,L,f,meco,NA,NA
Molokai Task Force,Molokai,MECO infrastructure - power lines/old infrastructure,5,Vegetation management around poles,PS,L,f,gfm,NA,NA
Molokai Task Force,Molokai,MECO infrastructure - power lines/old infrastructure,5,Vegetation management around poles,PS,L,f,meco,NA,NA
Molokai,Molokai,Mitigation of fire hazards and fuel loads,0,Provide tax incentives for creating buffer zones and restoring native plant habitat,P,L,f,p,NA,NA
Molokai,Molokai,Proper mitigation effort in specific areas,0,Change type of fire breaks & education,PS,L,f,cbo,NA,NA
Molokai,Molokai,Proper mitigation effort in specific areas,0,Change type of fire breaks & education,PS,L,f,cbo,NA,NA
Molokai,Molokai,Saving native plants (i.e. Wiliwili),0,Planting for firebreak - wind/dust control,PS,L,f,ep,NA,NA
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Enforcement,P,L,f,vl,NA,NA
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Prescribed burn,PS,L,f,gfm,NA,NA
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Protection of E. Molokai watersheds and 6000 acres of common land,PS,L,f,gfm,NA,NA
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Subdivision put in a fuel break,PS,L,f,vl,NA,NA
Molokai,Molokai,Vegetation changing to more fire prone species,1,Game management control in high native forest areas,PS,L,f,ag,NA,NA
Molokai,Molokai,Improve mauka roads,4,"Pave infrastructure, improve conditions",PS,R,a,NA,NA,NA
Molokai Task Force,Molokai,Lack of access to remote areas,2,Increase & improve road maintenance,PS,R,a,NA,NA,NA
Molokai Task Force,Molokai,Mountain access for County Fire Dept. tankers,3,Road/fire break improvement,PS,R,a,NA,NA,NA
Molokai Task Force,Molokai,Mountain access for County Fire Dept. tankers,3,Road/fire break improvement,PS,R,f,NA,NA,NA
Molokai,Molokai,Agencies & communities need to be prepared and ready for fire,3,"Training, general preparedness, know where/who to call (local, County, State, Federal, Trained volunteers)",PS,R,p,money,NA,NA
Molokai,Molokai,Need earlier detection of fires,3,"Fire detection cameras, alarms, smoke detectors",S,R,p,money,NA,NA
Molokai,Molokai,Need earlier detection of fires,3,"Have a fire response plan (ex. If > 10 acres = military help; If subdivision lives are in danger = get extra help (Oahu, Maui,",S,R,p,money,NA,NA
Molokai,Molokai,Need earlier detection of fires,3,"Have a fire response plan (ex. If > 10 acres = military help; If subdivision lives are in danger = get extra help (Oahu, Maui,",PS,R,p,collab,NA,NA
Molokai Task Force,Molokai,Inadequate water resources for fire suppression,3,"Develop a plan for access to major water resources throughout the island (MIS, all swimming pools)",S,R,w,p,NA,NA
Molokai,Molokai,Inadequate water supply infrastructure,7,"Dip tanks, pumpkins, etc. in problem areas",S,R,w,money,NA,NA
Molokai Task Force,Molokai,Lack of water supply (suppression) in high priority response areas,1,"Creating mid slope water supplies for aircraft response (diptanks, water sources, taps)",S,R,w,money,NA,NA
Molokai,Molokai,Low water pressure (leaks) in Kaluakol,1,"Optimal management of water system, repair leaks",S,R,w,p,NA,NA
Molokai Task Force,Molokai,Water infrastructure inadequate in certain key areas,3,Upgrade water infrastructure,S,R,w,money,NA,NA
Dick Mayer's house,South Maui,Community Awareness - Kihei is very aware but Kula is not,NA,Maui Meadows (MM) - 900 homes - very active HOA - need community education,P,C,c,cbo,NA,NA
Kihei,South Maui,Community awareness for yard waste dumping,2,"Reminders in newspaper, radio, etc.; Chipper days",P,C,c,psa,NA,NA
Dick Mayer's house,South Maui,Community Awareness - Kihei is very aware but Kula is not,NA,MM needs a fire break on mauka side by Ulupawa Ranch (tax homes once $100 to maintain the fire break),PS,C,f,wui,NA,NA
Kihei,South Maui,Increasing communities/subdivisions developing near wildland areas.,0,Input into planning process - Firewise Communities (peer review),P,C,p,to,NA,NA
Kihei,South Maui,Lack of fuel break/fire breaks around subdivisions - esp. mauka of highway (ex. Maui Meadows),2,"Work with Hale Ranch, Kaomoulu Ranch and homeowners associations on designating possible locations for fuel/fire breaks.",PS,C,p,f,NA,NA
Dick Mayer's house,South Maui,Community Awareness - Kihei is very aware but Kula is not,NA,MM needs a fire break on mauka side by Ulupawa Ranch (tax homes once $100 to maintain the fire break),PS,L,f,wui,NA,NA
Kihei,South Maui,High growth of wildland areas,0,"Grazing, weed whacking, Dozer breaks",PS,L,f,gfm,NA,NA
NA,South Maui,Lack of fuel break/fire breaks around subdivisions - esp. mauka of highway (ex. Maui Meadows),2,"Work with Hale Ranch, Kaomoulu Ranch and homeowners associations on designating possible locations for fuel/fire breaks.",PS,L,f,cbo,NA,NA
NA,South Maui,Lack of fuel break/fire breaks around subdivisions - esp. mauka of highway (ex. Maui Meadows),2,"Work with Hale Ranch, Kaomoulu Ranch and homeowners associations on designating possible locations for fuel/fire breaks.",PS,L,f,p,NA,NA
Kihei,South Maui,"Lack of water resources and road access, especially above Pililani Hwy.",1,Controlled burns,PS,R,a,r,NA,NA
Kihei,South Maui,"Lack of water resources and road access, especially above Pililani Hwy.",1,Dedicated fire breaks that are maintained,PS,R,a,fm,NA,NA
Kihei,South Maui,More firefighter equipment,7,CDF mini trucks for Kihei & Wailea,S,R,ff,money,NA,NA
Kihei,South Maui,Lack of water resources (dip tanks & reservoirs in between South Kihei and Upcountry,4,Revisit South Haleakala SCD Plan (contact) on water catchment infrastructure. Catch excess runoff from up mauka.,S,R,p,NA,NA,NA
Kihei,South Maui,Lack of water resources (dip tanks & reservoirs in between South Kihei and Upcountry,4,Revisit South Haleakala SCD Plan (contact) on water catchment infrastructure. Catch excess runoff from up mauka.,S,R,w,NA,NA,NA
Kihei,South Maui,"Lack of water resources and road access, especially above Pililani Hwy.",1,Controlled burns,PS,R,w,NA,NA,NA
Kihei,South Maui,"Lack of water resources and road access, especially above Pililani Hwy.",1,"Kaonoulu, Kamiole Reservoirs to catch run off from rains near gulches.  Can maintain and use for fire prevention (Waipuilani,?)",S,R,w,NA,NA,NA
Dick Mayer's house,South Maui,Water Resources,NA,Kihei water treatment plant - tap into it when needed for fire suppression,S,R,w,NA,NA,NA
Dick Mayer's house,South Maui,Water Resources,NA,Tap into well system when needed for fire suppression,S,R,w,NA,NA,NA
Makawao,Upcountry Maui,Lack of Community Awareness,3,"Education to reduce ignitions: Kids, schools, County Fair (Sept/Oct), Ag Fest (Mar), Newspaper, Airport screens, Radio",P,C,c,cbo,NA,NA
