meeting_location,cwpp_region,concern,total_votes,recommendations,timing_focus,cohesive_strategy,key_codes,secondary_desc
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Prescribed burn,PS,L,F,GFM
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Protection of E. Molokai watersheds and 6000 acres of common land,PS,L,F,GFM
Molokai,Molokai,Vacant lots from residential & businesses (Kawela Plantation - hot/dry/windy),2,Subdivision put in a fuel break,PS,L,F,VL
Molokai,Molokai,Vegetation changing to more fire prone species,1,Game management control in high native forest areas,PS,L,F,Ag
Molokai,Molokai,Improve mauka roads,4,"Pave infrastructure, improve conditions",PS,R,A,
Molokai Task Force,Molokai,Lack of access to remote areas,2,Increase & improve road maintenance,PS,R,A,
Molokai Task Force,Molokai,Mountain access for County Fire Dept. tankers,3,Road/fire break improvement,PS,R,A,
Molokai Task Force,Molokai,Mountain access for County Fire Dept. tankers,3,Road/fire break improvement,PS,R,F,
Molokai,Molokai,Agencies & communities need to be prepared and ready for fire,3,"Training, general preparedness, know where/who to call (local, County, State, Federal, Trained volunteers)",PS,R,P,$
Molokai,Molokai,Need earlier detection of fires,3,"Fire detection cameras, alarms, smoke detectors",S,R,P,$
Molokai,Molokai,Need earlier detection of fires,3,"Have a fire response plan (ex. If > 10 acres = military help; If subdivision lives are in danger = get extra help (Oahu, Maui, ",S,R,P,$
Molokai,Molokai,Need earlier detection of fires,3,"Have a fire response plan (ex. If > 10 acres = military help; If subdivision lives are in danger = get extra help (Oahu, Maui, ",PS,R,P,Collab
Molokai Task Force,Molokai,Inadequate water resources for fire suppression ,3,"Develop a plan for access to major water resources throughout the island (MIS, all swimming pools)",S,R,W,P
Molokai,Molokai,Inadequate water supply infrastructure,7,"Dip tanks, pumpkins, etc. in problem areas",S,R,W,$
Molokai Task Force,Molokai,Lack of water supply (suppression) in high priority response areas,1,"Creating mid slope water supplies for aircraft response (diptanks, water sources, taps)",S,R,W,$
Molokai,Molokai,Low water pressure (leaks) in Kaluakol,1,"Optimal management of water system, repair leaks",S,R,W,P
Molokai Task Force,Molokai,Water infrastructure inadequate in certain key areas,3,Upgrade water infrastructure,S,R,W,$ 
