Category,Rating Element,Low_1,Moderate_2,High_3
Fire Environment,Seasonal or periodic high hazard conditions,Area has no major seasonal increase of fire hazard.,"Area is occasionally (e.g., once per decade) exposed to fire prone conditions: drought, lightning storms, desiccated vegetation, and/or strong dry winds","Area is seasonally exposed to unusually severe fire weather, drought conditions, lightning storms, desiccated vegetation, and/or strong dry winds"
Fire Environment,Ignition risk,Little to no natural (lightning or lava) ignition risk.  No history of arson. Wildland areas absent or distant from public and/or vehicular access.,"Some history of wildfire, but not particularly fire prone area due to prevailing lack of fire prone conditions, weather, and vegetation type.",Most historic wildfire events were anthropogenic with easy access to wildland areas via roads or proximity to development OR natural ignition sources such as lightning or lava are prevalent. Fire prone area.  High rate of ignitions or history of large scale fires and/or severe wildfire events.
Fire Environment,Topographical features that adversely wildland fire behavior,None.,NA,"Major feature such as box canyon, ravines, chutes, saddles, transition zones."
Fire Protection,Water source availability,Pressurized water source availability. 500 GPM less than 1000 ft spacing.,"Non-pressurized water source availability (offsite or draft location) or dipsite.
Homes on catchment water
have fire-hose hookups.","Water unavailable, or offsite water more than 20 minute roundtrip"
Fire Protection,Response time,Within 15 minutes,16-30 minutes,Greater than 30 minutes
Fire Protection,Proximity to fire station,Less than 5 miles,6-10 miles,More than 10 miles
Fire Protection,Fire department structural training and expertise,"Large fully paid fire department with personnel that meet NFPA or NWCG training requirements and have
adequate equipment.","Mixed fire department. Some paid and some volunteer personnel.  Limited experience, training, and equipment to fight fire.","Small, all volunteer fire department.  Limited training, experience, and budget with regular turnover of personnel.  Do not meet
NFPA or NWCG standards."
Fire Protection,Wildland firefighting capability of initial response agency,"Sufficient personnel, equipment, and wildland firefighting capability and experience. Good supply of structural and wildland fire apparatus and misc
specialty equipment","Limited personnel, and or equipment but with some wildland firefighting expertise and training. Smaller supply of fire apparatus in fairly good repair with some
specialty equipment.","Fire department non-existent or untrained/unequipped to fight wildland fire. Minimum amount of fire apparatus, which is old and in need of repair. None or little specialty
equipment."
Fire Protection,Interagency Cooperation,Mutual aid agreements and resources available to deploy.,Mutual aid agreements but limited resource availability.,No mutual aid agreements.
Fire Protection,"Local
emergency operations group or other similar",Active EOG or CERT. Evacuation plan in place.,Limited participation in EOG or similar. Have some form of evacuation process.,"EOG or CERT team, etc. organized and active, prepared for evacuation processes"
Fire Protection,Community planning practices and ordinances,"County/local laws, zoning ordinances, and codes require use of fire safe residential and subdivision designs.
Fire department actively participates in planning process and enforces ordinances.  Residents are compliant.","Have voluntary ordinances for fire safe practices. Local officials have an understanding of appropriate wildfire mitigation strategies. Fire department has limited input to fire safe planning and development efforts and limited enforcement.
Residents are mostly compliant.","No local codes, laws, or ordinances requiring fire safe building or practices.
Community standards for fire safe development and protection are marginal or non-existent.  Little to no effort has been made in assessing and applying measures to reduce wildfire impact.  Ordinances are not enforced and/or residents are
not compliant."
Fire Protection,Community fire-safe efforts and programs already in place,"Organized and active groups provide educational materials and programs throughout the
community.","Limited provision of or interest in educational efforts.  Fire Department or local group does some limited prevention and public
education.",No interest or participation in educational programs. No prevention education by local fire department.
